id,course_id,title,content_type,order,xp_reward,created_at,section_id,duration
automatizar-decisiones-menos-estres,course-28-3,Automatizar decisiones (menos estrés),reading,4,50,2026-03-26 00:18:53.101,,5
balance-simple-entrasale,course-5-3,Balance simple (entra/sale),reading,1,50,2026-03-26 00:14:51.71,,5
buenas-practicas-basicas-orden,course-17-3,Buenas prácticas básicas (orden),reading,4,50,2026-03-26 00:16:58.731,,5
cambiar-cartera-cada-semana-error,course-26-3,Cambiar cartera cada semana (error),reading,3,50,2026-03-26 00:18:31.729,,5
cambiar-prioridades-sin-abandonar,course-9-2,Cambiar prioridades sin abandonar,reading,4,50,2026-03-26 00:15:31.892,,5
capital-de-donde-sale-en-la-vida-real,course-23-2,Capital: de dónde sale en la vida real,reading,2,50,2026-03-26 00:17:56.598,,5
capital-intelectual-vs-capital-financiero,course-2-3,Capital Intelectual vs Capital Financiero,reading,1,50,2026-03-26 00:14:18.187,,5
caso-ajustar-precio-para-ser-rentable,course-30-2,Caso: ajustar precio para ser rentable,reading,5,50,2026-03-26 00:19:11.267,,5
caso-configurar-banca-digital-de-forma-segura,course-19-2,Caso: configurar banca digital de forma segura,reading,5,50,2026-03-26 00:17:16.725,,5
caso-corregir-un-plan-que-fallo,course-28-2,Caso: corregir un plan que falló,reading,5,50,2026-03-26 00:18:50.394,,5
caso-decision-inteligente-con-intereses,course-15-3,Caso: decisión inteligente con intereses,reading,5,50,2026-03-26 00:16:38.361,,5
caso-dos-caminos-dos-patrimonios,course-27-2,"Caso: dos caminos, dos patrimonios",reading,5,50,2026-03-26 00:18:39.915,,5
caso-dos-metas-en-conflicto,course-9-2,Caso: dos metas en conflicto,reading,5,50,2026-03-26 00:15:32.439,,5
caso-elegir-entre-2-decisiones-activo-vs-pasivo,course-21-2,Caso: elegir entre 2 decisiones (activo vs pasivo),reading,5,50,2026-03-26 00:17:37.454,,5
caso-elegir-instrumento-segun-objetivo,course-24-2,Caso: elegir instrumento según objetivo,reading,5,50,2026-03-26 00:18:08.63,,5
caso-elegir-inversion-segun-perfil,course-25-2,Caso: elegir inversión según perfil,reading,5,50,2026-03-26 00:18:19.143,,5
caso-elegir-una-cobertura-basica-correcta,course-16-2,Caso: elegir una cobertura básica correcta,reading,5,50,2026-03-26 00:16:45.583,,5
caso-evaluar-una-propuesta-pasiva,course-23-2,Caso: evaluar una propuesta “pasiva”,reading,5,50,2026-03-26 00:17:58.22,,5
caso-gasto-por-emocion-paso-a-paso,course-3-2,Caso: “gasto por emoción” paso a paso,reading,5,50,2026-03-26 00:14:28.693,,5
caso-identificar-si-un-mensaje-es-fraude,course-18-1,Caso: identificar si un mensaje es fraude,reading,5,50,2026-03-26 00:17:03.046,,5
caso-imprevisto-y-que-herramienta-usar,course-16-3,Caso: imprevisto y qué herramienta usar,reading,5,50,2026-03-26 00:16:48.839,,5
caso-leer-un-ticket-y-detectar-iva,course-17-2,Caso: leer un ticket y detectar IVA,reading,5,50,2026-03-26 00:16:55.922,,5
caso-mejorar-una-cartera-mal-diversificada,course-26-2,Caso: mejorar una cartera mal diversificada,reading,5,50,2026-03-26 00:18:29.573,,5
caso-meta-7-dias-30-dias,course-9-1,Caso: meta 7 días / 30 días,reading,5,50,2026-03-26 00:15:29.147,,5
caso-negociar-un-pago-por-un-servicio,course-22-2,Caso: negociar un pago por un servicio,reading,5,50,2026-03-26 00:17:47.932,,5
caso-negocio-con-ventas-pero-sin-dinero,course-30-1,Caso: negocio con ventas pero sin dinero,reading,5,50,2026-03-26 00:19:07.997,,5
caso-plan-realista-hacia-libertad,course-29-2,Caso: plan realista hacia libertad,reading,5,50,2026-03-26 00:19:01.183,,5
caso-precios-hoy-vs-hace-2-anos,course-20-1,Caso: precios hoy vs hace 2 años,reading,5,50,2026-03-26 00:17:23.723,,5
caso-presupuesto-con-imprevisto,course-6-2,Caso: presupuesto con imprevisto,reading,5,50,2026-03-26 00:15:01.103,,5
caso-reconstruccion-paso-a-paso,course-13-3,Caso: reconstrucción paso a paso,reading,5,50,2026-03-26 00:16:17.596,,5
caso-recuperar-control-del-mes,course-5-2,Caso: recuperar control del mes,reading,5,50,2026-03-26 00:14:50.625,,5
caso-salir-de-deudas-con-ingresos-limitados,course-14-3,Caso: salir de deudas con ingresos limitados,reading,5,50,2026-03-26 00:16:28.04,,5
cat-explicado-con-ejemplo-real,course-15-2,CAT explicado con ejemplo real,reading,1,50,2026-03-26 00:16:32.903,,5
checklist-de-riesgos-personales-basico,course-16-1,Checklist de riesgos personales básico,reading,5,50,2026-03-26 00:16:42.274,,5
checklist-de-seguridad-personal,course-18-2,Checklist de seguridad personal,reading,5,50,2026-03-26 00:17:06.358,,5
checkpoint-distinguir-pasivo-real-vs-mito,course-23-3,Checkpoint: distinguir pasivo real vs mito,reading,5,50,2026-03-26 00:18:01.559,,5
checkpoint-mi-estrategia-inicial-de-inversion,course-24-3,Checkpoint: mi estrategia inicial de inversión,reading,5,50,2026-03-26 00:18:11.875,,5
checkpoint-mi-indicador-de-libertad,course-29-3,Checkpoint: mi indicador de libertad,reading,5,50,2026-03-26 00:19:04.331,,5
checkpoint-mi-manual-de-dinero-v1,course-28-1,Checkpoint: mi manual de dinero v1,reading,5,50,2026-03-26 00:18:47.117,,5
checkpoint-mi-mapa-patrimonial,course-27-3,Checkpoint: mi mapa patrimonial,reading,5,50,2026-03-26 00:18:43.204,,5
checkpoint-mi-plan-de-crecimiento-de-ingresos,course-22-3,Checkpoint: mi plan de crecimiento de ingresos,reading,5,50,2026-03-26 00:17:51.187,,5
checkpoint-mi-regla-personal-de-riesgo,course-25-3,Checkpoint: mi regla personal de riesgo,reading,5,50,2026-03-26 00:18:22.405,,5
checkpoint-mi-sistema-de-seguimiento,course-28-3,Checkpoint: mi sistema de seguimiento,reading,5,50,2026-03-26 00:18:54.389,,5
checkpoint-mis-reglas-personales-activospasivos,course-21-3,Checkpoint: mis reglas personales activos/pasivos,reading,5,50,2026-03-26 00:17:40.743,,5
checkpoint-plan-financiero-de-mi-negocio,course-30-3,Checkpoint: plan financiero de mi negocio,reading,5,50,2026-03-26 00:19:14.401,,5
checkpoint-reglas-simples-para-diversificar,course-26-3,Checkpoint: reglas simples para diversificar,reading,5,50,2026-03-26 00:18:32.809,,5
cierre-de-meta-y-siguiente-meta,course-9-3,Cierre de meta y siguiente meta,reading,5,50,2026-03-26 00:15:35.716,,5
cierre-mensual-que-aprendi,course-10-1,Cierre mensual (qué aprendí),reading,5,50,2026-03-26 00:15:39.545,,5
clabe-tarjeta-numero-de-cuenta-no-confundirse,course-11-2,"CLABE, tarjeta, número de cuenta (no confundirse)",reading,2,50,2026-03-26 00:15:51.733,,5
clasificar-mis-gastos-ejercicio-completo,course-4-1,Clasificar mis gastos (ejercicio completo),reading,5,50,2026-03-26 00:14:36.87,,5
comisiones-bancarias-comunes,course-4-3,Comisiones bancarias comunes,reading,2,50,2026-03-26 00:14:41.892,,5
comisiones-digitales-comunes-cuidado,course-19-2,Comisiones digitales comunes (cuidado),reading,2,50,2026-03-26 00:17:15.108,,5
comisiones-por-que-existen-y-como-te-afectan,course-11-1,Comisiones: por qué existen y cómo te afectan,reading,4,50,2026-03-26 00:15:49.557,,5
como-afecta-tu-ahorro,course-20-2,¿Cómo afecta tu ahorro?,reading,1,50,2026-03-26 00:17:24.845,,5
como-afecta-tu-salario-o-mesada,course-20-2,¿Cómo afecta tu salario o mesada?,reading,2,50,2026-03-26 00:17:25.389,,5
como-arreglar-un-atraso-sin-empeorar-todo,course-13-3,¿Cómo arreglar un atraso sin empeorar todo?,reading,2,50,2026-03-26 00:16:15.973,,5
como-crear-margen,course-5-3,¿Cómo crear margen?,reading,3,50,2026-03-26 00:14:52.798,,5
como-cuestionar-una-creencia-con-evidencia,course-1-3,¿Cómo cuestionar una creencia con evidencia?,reading,4,50,2026-03-26 00:14:08.349,,5
como-decir-que-no-sin-sentirte-menos,course-3-3,¿Cómo decir que no sin sentirte menos?,reading,4,50,2026-03-26 00:14:31.418,,5
como-distinguirlos-en-10-segundos,course-21-1,¿Cómo distinguirlos en 10 segundos?,reading,3,50,2026-03-26 00:17:33.076,,5
como-elegir-banco-o-cuenta-criterios-simples,course-11-3,¿Cómo elegir banco o cuenta (criterios simples)?,reading,1,50,2026-03-26 00:15:54.465,,5
como-empezar-con-poco,course-8-2,¿Cómo empezar con poco?,reading,3,50,2026-03-26 00:15:20.887,,5
como-empezar-con-poco-sin-improvisar,course-24-3,¿Cómo empezar con poco sin improvisar?,reading,1,50,2026-03-26 00:18:09.715,,5
como-evitar-errores-en-banca-movil,course-19-2,¿Cómo evitar errores en banca móvil?,reading,4,50,2026-03-26 00:17:16.189,,5
como-fijar-un-precio-a-tu-trabajo-basico,course-22-2,¿Cómo fijar un precio a tu trabajo (básico)?,reading,2,50,2026-03-26 00:17:46.272,,5
como-funciona-una-tarjeta-ciclo-de-pago,course-12-2,¿Cómo funciona una tarjeta (ciclo de pago)?,reading,1,50,2026-03-26 00:16:01.659,,5
como-me-hace-sentir-el-dinero,course-1-2,¿Cómo me hace sentir el dinero?,reading,1,50,2026-03-26 00:14:03.278,,5
como-medirlo-sin-complicarte,course-27-1,¿Cómo medirlo sin complicarte?,reading,2,50,2026-03-26 00:18:34.979,,5
como-pedir-mejor-pago-sin-pena-pasos,course-22-2,¿Cómo pedir mejor pago sin pena (pasos)?,reading,3,50,2026-03-26 00:17:46.858,,5
como-poner-precio-3-metodos-simples,course-30-2,¿Cómo poner precio (3 métodos simples)?,reading,2,50,2026-03-26 00:19:09.676,,5
como-se-crea-historial-desde-cero-opciones-reales,course-13-2,¿Cómo se crea historial desde cero (opciones reales)?,reading,1,50,2026-03-26 00:16:12.128,,5
como-se-genera-ingreso-en-el-mundo-real,course-22-1,¿Cómo se genera ingreso en el mundo real?,reading,1,50,2026-03-26 00:17:42.357,,5
como-seguirlo-dia-a-dia,course-6-3,¿Cómo seguirlo día a día?,reading,1,50,2026-03-26 00:15:02.188,,5
como-sostener-habitos-30-dias,course-7-2,¿Cómo sostener hábitos 30 días?,reading,2,50,2026-03-26 00:15:09.935,,5
comparar-2-creditos-cual-es-mas-caro-y-por-que,course-15-2,Comparar 2 créditos: cuál es más caro y por qué,reading,5,50,2026-03-26 00:16:35.091,,5
comportamientos-que-ayudan-pagos-a-tiempo,course-13-2,Comportamientos que ayudan (pagos a tiempo),reading,2,50,2026-03-26 00:16:12.67,,5
comprar-por-estatus-vs-por-valor,course-3-3,Comprar por estatus vs por valor,reading,1,50,2026-03-26 00:14:29.777,,5
compras-en-linea-falsas-como-detectarlas,course-18-1,Compras en línea falsas (cómo detectarlas),reading,4,50,2026-03-26 00:17:02.504,,5
compras-por-aburrimiento-vs-necesidad,course-3-1,Compras por aburrimiento vs necesidad,reading,4,50,2026-03-26 00:14:24.86,,5
compras-seguras-marketplaces-comprobantes,course-18-3,"Compras seguras (marketplaces, comprobantes)",reading,4,50,2026-03-26 00:17:09.06,,5
consistencia-aportar-cada-mes-idea,course-24-3,Consistencia: aportar cada mes (idea),reading,3,50,2026-03-26 00:18:10.787,,5
construir-reputacion-y-por-que-paga,course-22-3,Construir reputación (y por qué paga),reading,4,50,2026-03-26 00:17:50.646,,5
contrasenas-seguras-sin-complicar,course-18-2,Contraseñas seguras (sin complicar),reading,1,50,2026-03-26 00:17:04.13,,5
control-crecimiento-patrimonio-ruta,course-29-2,Control → crecimiento → patrimonio (ruta),reading,1,50,2026-03-26 00:18:59.095,,5
control-de-suscripciones-herramientas,course-19-1,Control de suscripciones (herramientas),reading,4,50,2026-03-26 00:17:12.966,,5
convertir-gasto-en-inversion-cuando-si-se-puede,course-21-3,Convertir gasto en inversión (cuando sí se puede),reading,2,50,2026-03-26 00:17:39.121,,5
correlacion-simple-sin-tecnicismos,course-26-1,Correlación simple (sin tecnicismos),reading,4,50,2026-03-26 00:18:25.672,,5
cortar-la-causa-no-solo-pagar,course-14-3,Cortar la causa (no solo pagar),reading,2,50,2026-03-26 00:16:26.31,,5
costo-real-del-credito-idea-sin-formula,course-12-1,Costo real del crédito (idea sin fórmula),reading,4,50,2026-03-26 00:16:00.01,,5
costo-real-gasto-extras,course-4-1,Costo real: gasto + extras,reading,4,50,2026-03-26 00:14:36.317,,5
costos-fijos-vs-variables-negocio,course-30-1,Costos fijos vs variables (negocio),reading,2,50,2026-03-26 00:19:06.425,,5
costos-ocultos-saldo-minimo-anualidad-comisiones,course-11-3,"Costos ocultos (saldo mínimo, anualidad, comisiones)",reading,2,50,2026-03-26 00:15:55.014,,5
costos-por-pagar-tarde,course-4-3,Costos por pagar tarde,reading,4,50,2026-03-26 00:14:42.981,,5
credito-bueno-vs-malo-con-ejemplos-reales,course-12-1,Crédito bueno vs malo (con ejemplos reales),reading,2,50,2026-03-26 00:15:58.917,,5
cuando-conviene-adelantar-pagos,course-15-2,¿Cuándo conviene adelantar pagos?,reading,4,50,2026-03-26 00:16:34.546,,5
cuando-se-usa-y-cuando-no,course-8-2,¿Cuándo se usa y cuándo no?,reading,4,50,2026-03-26 00:15:21.435,,5
cuanto-necesito-simple,course-8-2,¿Cuánto necesito (simple)?,reading,2,50,2026-03-26 00:15:20.316,,5
culpa-y-ansiedad-financiera-como-se-forman,course-1-2,Culpa y ansiedad financiera (cómo se forman),reading,4,50,2026-03-26 00:14:04.962,,5
de-donde-entra-mi-dinero-hoy,course-5-1,¿De dónde entra mi dinero hoy?,reading,1,50,2026-03-26 00:14:45.155,,5
debito-vs-ahorro-vs-nomina-cuando-usar-cada-una,course-11-2,Débito vs ahorro vs nómina (cuándo usar cada una),reading,1,50,2026-03-26 00:15:51.192,,5
decisiones-que-destruyen-patrimonio,course-27-2,Decisiones que destruyen patrimonio,reading,2,50,2026-03-26 00:18:38.266,,5
deducciones-que-son-sin-complicar,course-17-3,Deducciones: qué son (sin complicar),reading,3,50,2026-03-26 00:16:58.188,,5
deducible-prima-cobertura-simple,course-16-2,"Deducible, prima, cobertura (simple)",reading,2,50,2026-03-26 00:16:43.927,,5
detectar-3-gastos-hormiga-personales,course-4-2,Detectar 3 gastos hormiga personales,reading,2,50,2026-03-26 00:14:38.522,,5
detectar-mi-fuente-principal-de-riesgo,course-5-1,Detectar mi fuente principal de riesgo,reading,5,50,2026-03-26 00:14:47.341,,5
detectar-mis-triggers-casos,course-3-1,Detectar mis triggers (casos),reading,5,50,2026-03-26 00:14:25.412,,5
diagnostico-mi-nivel-de-riesgo-de-deuda,course-14-1,Diagnóstico: mi nivel de riesgo de deuda,reading,5,50,2026-03-26 00:16:21.407,,5
diferencia-entre-inflacion-baja-y-alta,course-20-1,Diferencia entre inflación baja y alta,reading,4,50,2026-03-26 00:17:23.18,,5
diferencia-entre-promocion-y-condicion-real,course-11-3,Diferencia entre “promoción” y “condición real”,reading,4,50,2026-03-26 00:15:56.207,,5
diferenciar-esfuerzo-de-estrategia,course-22-3,Diferenciar esfuerzo de estrategia,reading,3,50,2026-03-26 00:17:50.098,,5
dinero-como-presion-vs-oportunidad,course-1-1,Dinero como presión vs oportunidad,reading,4,50,2026-03-26 00:14:01.638,,5
dinero-como-seguridad-vs-libertad,course-1-1,Dinero como seguridad vs libertad,reading,3,50,2026-03-26 00:14:01.084,,5
dinero-rapido-y-piramides-red-flags,course-18-1,“Dinero rápido” y pirámides (red flags),reading,3,50,2026-03-26 00:17:01.964,,5
disenar-mi-rutina-financiera,course-7-3,Diseñar mi rutina financiera,reading,1,50,2026-03-26 00:15:12.674,,5
diseno-de-carrera-de-operativo-a-estrategico,course-2-2,Diseño de Carrera: De Operativo a Estratégico,reading,5,50,2026-03-26 00:14:17.096,,5
diversificacion-como-control-idea,course-25-3,Diversificación como control (idea),reading,2,50,2026-03-26 00:18:20.776,,5
diversificacion-dentro-de-un-instrumento,course-24-2,Diversificación dentro de un instrumento,reading,4,50,2026-03-26 00:18:08.084,,5
diversificar-no-es-comprar-de-todo,course-26-1,Diversificar no es comprar “de todo”,reading,3,50,2026-03-26 00:18:25.132,,5
diversificar-por-instrumento,course-26-2,Diversificar por instrumento,reading,1,50,2026-03-26 00:18:27.302,,5
diversificar-por-objetivo-corto-vs-largo,course-26-2,Diversificar por objetivo (corto vs largo),reading,4,50,2026-03-26 00:18:28.924,,5
diversificar-por-sectortema-idea-simple,course-26-2,Diversificar por sector/tema (idea simple),reading,2,50,2026-03-26 00:18:27.843,,5
diversificar-por-tiempo-entradas-escalonadas,course-26-2,Diversificar por tiempo (entradas escalonadas),reading,3,50,2026-03-26 00:18:28.385,,5
diversificar-sin-entender-que-compras,course-26-3,Diversificar sin entender qué compras,reading,2,50,2026-03-26 00:18:31.182,,5
ejemplos-digitales-con-trabajo-previo,course-23-3,Ejemplos digitales (con trabajo previo),reading,3,50,2026-03-26 00:18:00.478,,5
ejemplos-moderados-mas-riesgo,course-23-3,Ejemplos moderados (más riesgo),reading,2,50,2026-03-26 00:17:59.938,,5
ejemplos-simples-bajo-riesgo,course-23-3,Ejemplos simples (bajo riesgo),reading,1,50,2026-03-26 00:17:59.398,,5
ejemplos-tipicos-de-jovenes-lo-que-confunde,course-21-2,Ejemplos típicos de jóvenes (lo que confunde),reading,1,50,2026-03-26 00:17:35.251,,5
el-costo-de-no-saber-impuesto-a-la-ignorancia,course-2-3,El costo de no saber: Impuesto a la ignorancia,reading,2,50,2026-03-26 00:14:18.724,,5
el-costo-emocional-de-la-deuda,course-14-1,El “costo emocional” de la deuda,reading,4,50,2026-03-26 00:16:20.866,,5
el-costo-total-de-un-pasivo-mas-alla-del-precio,course-21-2,El costo total de un pasivo (más allá del precio),reading,3,50,2026-03-26 00:17:36.382,,5
el-triangulo-del-valor-habilidad-escala-rareza,course-2-1,"El Triángulo del Valor (Habilidad, Escala, Rareza)",reading,3,50,2026-03-26 00:14:12.72,,5
elegir-el-tipo-correcto-para-mi,course-6-1,Elegir el tipo correcto para mí,reading,5,50,2026-03-26 00:14:57.83,,5
elegir-metas-sin-saturarme,course-9-2,Elegir metas sin saturarme,reading,1,50,2026-03-26 00:15:30.238,,5
elegir-metodo-segun-tu-situacion,course-14-2,Elegir método según tu situación,reading,5,50,2026-03-26 00:16:24.695,,5
emocion-vs-decision-casos-reales,course-1-2,Emoción vs decisión (casos reales),reading,5,50,2026-03-26 00:14:05.502,,5
endeudarte-por-necesidad-vs-por-impulso,course-14-1,Endeudarte por necesidad vs por impulso,reading,3,50,2026-03-26 00:16:20.326,,5
envios-propinas-recargos,course-4-3,"Envíos, propinas, recargos",reading,3,50,2026-03-26 00:14:42.436,,5
errores-al-cobrar-barato,course-30-2,Errores al cobrar barato,reading,3,50,2026-03-26 00:19:10.2,,5
errores-al-negociar-y-como-evitarlos,course-22-2,Errores al negociar (y cómo evitarlos),reading,4,50,2026-03-26 00:17:47.399,,5
errores-comunes-al-ahorrar,course-8-1,Errores comunes al ahorrar,reading,5,50,2026-03-26 00:15:18.68,,5
errores-comunes-al-contratar,course-16-2,Errores comunes al contratar,reading,4,50,2026-03-26 00:16:45.028,,5
errores-comunes-al-intentar-pasivos,course-23-3,Errores comunes al intentar pasivos,reading,4,50,2026-03-26 00:18:01.02,,5
errores-comunes-al-querer-verse-bien,course-21-3,Errores comunes al “querer verse bien”,reading,4,50,2026-03-26 00:17:40.197,,5
errores-comunes-al-transferir-y-como-evitarlos,course-11-2,Errores comunes al transferir (y cómo evitarlos),reading,4,50,2026-03-26 00:15:52.833,,5
errores-comunes-en-inflacion-compras-impulsivas,course-20-2,Errores comunes en inflación (compras impulsivas),reading,3,50,2026-03-26 00:17:25.965,,5
errores-del-principiante-comunes,course-24-3,Errores del principiante (comunes),reading,2,50,2026-03-26 00:18:10.249,,5
errores-que-hunden-mas-el-historial,course-13-3,Errores que hunden más el historial,reading,4,50,2026-03-26 00:16:17.048,,5
errores-que-retrasan-libertad-deuda-impulsos,course-29-2,"Errores que retrasan libertad (deuda, impulsos)",reading,2,50,2026-03-26 00:18:59.62,,5
errores-tipicos-al-presupuestar,course-6-1,Errores típicos al presupuestar,reading,2,50,2026-03-26 00:14:56.18,,5
errores-tipicos-meses-sin-intereses-mal-usados,course-12-3,Errores típicos (meses sin intereses mal usados),reading,3,50,2026-03-26 00:16:06.043,,5
errores-tipicos-no-pedir-factura-datos-mal,course-17-2,"Errores típicos (no pedir factura, datos mal)",reading,3,50,2026-03-26 00:16:54.84,,5
escalabilidad-tu-tiempo-tiene-techo,course-2-2,Escalabilidad: ¿Tu tiempo tiene techo?,reading,2,50,2026-03-26 00:14:15.465,,5
escalar-ingresos-con-habilidades-no-solo-trabajar-mas,course-22-3,Escalar ingresos con habilidades (no solo trabajar más),reading,1,50,2026-03-26 00:17:49.005,,5
escalar-sin-morir-de-flujo,course-30-3,Escalar sin morir de flujo,reading,3,50,2026-03-26 00:19:13.362,,5
escenarios-gano-menos,course-10-2,Escenarios: gano menos,reading,2,50,2026-03-26 00:15:41.296,,5
escenarios-gasto-mas,course-10-2,Escenarios: gasto más,reading,3,50,2026-03-26 00:15:41.833,,5
escenarios-si-gano-mas,course-28-2,Escenarios: si gano más,reading,2,50,2026-03-26 00:18:48.746,,5
escenarios-si-gano-menos,course-28-2,Escenarios: si gano menos,reading,3,50,2026-03-26 00:18:49.293,,5
estafas-tipicas-en-redes-senales,course-18-1,Estafas típicas en redes (señales),reading,1,50,2026-03-26 00:17:00.892,,5
esto-parece-activo-pero-no-lo-es-casos,course-21-2,“Esto parece activo pero no lo es” (casos),reading,2,50,2026-03-26 00:17:35.785,,5
etfs-y-fondos-concepto-general,course-24-2,ETFs y fondos (concepto general),reading,2,50,2026-03-26 00:18:06.995,,5
evaluacion-como-se-ve-tu-flujo-de-entrada-hoy,course-2-1,Evaluación: ¿Cómo se ve tu flujo de entrada hoy?,reading,5,50,2026-03-26 00:14:13.806,,5
evaluacion-de-bloque-1,course-1-4,Evaluación de Bloque 1,reading,1,50,2026-03-26 00:14:10.002,,5
evaluacion-de-bloque-2,course-2-4,Evaluación de Bloque 2,reading,1,50,2026-03-26 00:14:21.466,,5
evaluacion-de-bloque-3,course-3-4,Evaluación de Bloque 3,reading,1,50,2026-03-26 00:14:33.049,,5
evitar-abandonar-a-mitad,course-9-3,Evitar abandonar a mitad,reading,3,50,2026-03-26 00:15:34.623,,5
evitar-compras-impulsivas-online-reglas,course-19-3,Evitar compras impulsivas online (reglas),reading,4,50,2026-03-26 00:17:19.418,,5
evitar-crecer-y-gastar-todo,course-27-3,Evitar “crecer y gastar todo”,reading,2,50,2026-03-26 00:18:41.558,,5
evitar-decisiones-impulsivas-regla,course-25-3,Evitar decisiones impulsivas (regla),reading,3,50,2026-03-26 00:18:21.318,,5
evitar-gastos-catastroficos-reglas,course-16-3,Evitar gastos catastróficos (reglas),reading,3,50,2026-03-26 00:16:47.751,,5
evitar-volver-a-caer-reglas-personales,course-14-3,Evitar volver a caer (reglas personales),reading,4,50,2026-03-26 00:16:27.504,,5
expectativas-vs-realidad-financiera,course-1-3,Expectativas vs realidad financiera,reading,2,50,2026-03-26 00:14:07.149,,5
fecha-de-corte-vs-fecha-limite-sin-confundirse,course-12-2,Fecha de corte vs fecha límite (sin confundirse),reading,2,50,2026-03-26 00:16:02.204,,5
flujo-de-efectivo-del-negocio-oxigeno,course-30-1,Flujo de efectivo del negocio (oxígeno),reading,4,50,2026-03-26 00:19:07.473,,5
